image_path,airspeed
dive_fixed_A10C_0000.jpg,190
dive_fixed_A10C_0001.jpg,190
dive_fixed_A10C_0002.jpg,190
dive_fixed_A10C_0003.jpg,190
dive_fixed_A10C_0004.jpg,190
dive_fixed_A10C_0005.jpg,190
dive_fixed_A10C_0006.jpg,190
dive_fixed_A10C_0007.jpg,190
dive_fixed_A10C_0008.jpg,190
dive_fixed_A10C_0009.jpg,190
dive_fixed_A10C_0010.jpg,190
dive_fixed_A10C_0011.jpg,190
dive_fixed_A10C_0012.jpg,190
dive_fixed_A10C_0013.jpg,190
dive_fixed_A10C_0014.jpg,190
dive_fixed_A10C_0015.jpg,190
dive_fixed_A10C_0016.jpg,190
dive_fixed_A10C_0017.jpg,190
dive_fixed_A10C_0018.jpg,190
dive_fixed_A10C_0019.jpg,190
dive_fixed_A10C_0020.jpg,190
dive_fixed_A10C_0021.jpg,190
dive_fixed_A10C_0022.jpg,190
dive_fixed_A10C_0023.jpg,190
dive_fixed_A10C_0024.jpg,190
dive_fixed_A10C_0025.jpg,190
dive_fixed_A10C_0026.jpg,190
dive_fixed_A10C_0027.jpg,190
dive_fixed_A10C_0028.jpg,190
dive_fixed_A10C_0029.jpg,190
dive_fixed_A10C_0030.jpg,190
dive_fixed_A10C_0031.jpg,190
dive_fixed_A10C_0032.jpg,190
dive_fixed_A10C_0033.jpg,190
dive_fixed_A10C_0034.jpg,190
dive_fixed_A10C_0035.jpg,200
dive_fixed_A10C_0036.jpg,200
dive_fixed_A10C_0037.jpg,200
dive_fixed_A10C_0038.jpg,200
dive_fixed_A10C_0039.jpg,200
dive_fixed_A10C_0040.jpg,200
dive_fixed_A10C_0041.jpg,200
dive_fixed_A10C_0042.jpg,200
dive_fixed_A10C_0043.jpg,200
dive_fixed_A10C_0044.jpg,200
dive_fixed_A10C_0045.jpg,200
dive_fixed_A10C_0046.jpg,200
dive_fixed_A10C_0047.jpg,200
dive_fixed_A10C_0048.jpg,200
dive_fixed_A10C_0049.jpg,200
