image_path,vertical_speed
daytime_fixed_A10C2_0000.jpg,0.0
daytime_fixed_A10C2_0001.jpg,0.0
daytime_fixed_A10C2_0002.jpg,0.0
daytime_fixed_A10C2_0003.jpg,0.0
daytime_fixed_A10C2_0004.jpg,0.0
daytime_fixed_A10C2_0005.jpg,0.0
daytime_fixed_A10C2_0006.jpg,0.0
daytime_fixed_A10C2_0007.jpg,0.0
daytime_fixed_A10C2_0008.jpg,0.0
daytime_fixed_A10C2_0009.jpg,0.0
daytime_fixed_A10C2_0010.jpg,0.0
daytime_fixed_A10C2_0011.jpg,0.0
daytime_fixed_A10C2_0012.jpg,0.0
daytime_fixed_A10C2_0013.jpg,0.0
daytime_fixed_A10C2_0014.jpg,0.0
daytime_fixed_A10C2_0015.jpg,0.0
daytime_fixed_A10C2_0016.jpg,0.0
daytime_fixed_A10C2_0017.jpg,0.0
daytime_fixed_A10C2_0018.jpg,0.0
daytime_fixed_A10C2_0019.jpg,0.0
daytime_fixed_A10C2_0020.jpg,0.0
daytime_fixed_A10C2_0021.jpg,0.0
daytime_fixed_A10C2_0022.jpg,0.0
daytime_fixed_A10C2_0023.jpg,0.0
daytime_fixed_A10C2_0024.jpg,0.0
daytime_fixed_A10C2_0025.jpg,0.0
daytime_fixed_A10C2_0026.jpg,0.0
daytime_fixed_A10C2_0027.jpg,0.0
daytime_fixed_A10C2_0028.jpg,-0.25
daytime_fixed_A10C2_0029.jpg,-0.25
daytime_fixed_A10C2_0030.jpg,-0.25
daytime_fixed_A10C2_0031.jpg,-0.25
daytime_fixed_A10C2_0032.jpg,-0.25
daytime_fixed_A10C2_0033.jpg,-0.25
daytime_fixed_A10C2_0034.jpg,-0.25
daytime_fixed_A10C2_0035.jpg,-0.25
daytime_fixed_A10C2_0036.jpg,-0.25
daytime_fixed_A10C2_0037.jpg,-0.25
daytime_fixed_A10C2_0038.jpg,-0.25
daytime_fixed_A10C2_0039.jpg,-0.25
daytime_fixed_A10C2_0040.jpg,-0.25
daytime_fixed_A10C2_0041.jpg,-0.25
daytime_fixed_A10C2_0042.jpg,-0.25
daytime_fixed_A10C2_0043.jpg,-0.5
daytime_fixed_A10C2_0044.jpg,-0.5
daytime_fixed_A10C2_0045.jpg,-0.5
daytime_fixed_A10C2_0046.jpg,-0.5
daytime_fixed_A10C2_0047.jpg,-0.5
daytime_fixed_A10C2_0048.jpg,-0.5
